Home Address,City,State,Zip,Volunteered in the past,2019 Gift,2018 Gift,2017 Gift,2016 Gift,2015 Gift,2014 Gift,2013 Gift,2012 Gift,2011 Gift,CompTotal
6736 Udall   Way,Lisbon,Oregon,68770,False,96535.60,35990.85,65466.67,74071.05,43463.61,91870.99,98652.49,16559.39,75884.58,523
6932 Bethwin  Road,Honolulu,Alaska,74240,False,55681.79,9108.68,6440.71,42169.22,99415.06,76032.01,15683.99,87287.97,9083.66,44
6620 Enford   Boulevard,Columbus,Utah,29863,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8615 Clerkenwell Drive,Fort Lauderdale,Connecticut,74586,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7371 Bury  Crossroad,New York,Oregon,58789,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8765 South Lane,Omaha,New York,79560,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7622 Coborn  Rue,Garland,Florida,44899,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
4323 Bliss  Grove,Fremont,Iowa,20364,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116000
2516 Monroe Walk,Minneapolis,Connecticut,47742,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
5936 Bendall   Route,Tallahassee,Florida,15851,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25000
5130 Yoakley Rue,Garland,Colorado,45838,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31000
915 Calvin   Hill,St. Louis,Massachussets,94042,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100
5996 Cheney  Boulevard,San Francisco,South Dakota,95808,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000
8714 Beaconsfield  Alley,Escondido,Connecticut,88649,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66001
7526 Carolina  Vale,Jacksonville,Alabama,19625,True,NULL,NULL,17489.99,95855.82,83463.68,42076.67,32014.91,49960.00,60798.48,0
922 Calderwood   Avenue,Berna,Arizona,29163,False,NULL,NULL,69117.01,65335.74,21426.46,23526.38,83992.22,49099.04,41748.69,7000
8362 West Walk,Prague,Colorado,45635,False,NULL,NULL,81297.47,NULL,NULL,50199.52,NULL,NULL,3700.27,79000
8470 Cleaver Drive,El Paso,Montana,93641,True,NULL,NULL,53257.33,NULL,NULL,95443.27,NULL,NULL,13223.68,105000
8567 Jackson Grove,Lancaster,Massachussets,64943,False,NULL,NULL,29834.44,NULL,NULL,35785.59,NULL,NULL,35668.73,83400
1727 Antrobus   Tunnel,Hayward,Arizona,70750,False,NULL,NULL,71252.75,NULL,NULL,95071.43,NULL,NULL,70673.67,0
6810 Angrave    Rue,Santa Ana,Montana,65540,True,NULL,NULL,61231.43,NULL,NULL,25194.53,NULL,NULL,16942.34,0
6648 Commercial  Rue,Berlin,Kentucky,84942,False,NULL,NULL,36374.46,NULL,NULL,95277.11,NULL,NULL,56253.34,0
7949 Linden Tunnel,Rochester,Illinois,77282,True,NULL,NULL,35953.51,NULL,NULL,83250.75,NULL,NULL,73884.29,0
9027 Oxford Walk,Escondido,California,20106,True,NULL,NULL,97253.53,NULL,NULL,74104.67,NULL,NULL,24192.47,8500
8292 Sherwood  Road,Kansas City,Nebraska,28377,True,NULL,NULL,34021.79,NULL,NULL,97476.68,NULL,NULL,88010.27,0
6649 Erindale Rue,Valetta,Wyoming,77158,True,NULL,NULL,78781.92,NULL,NULL,86178.76,NULL,NULL,33449.40,94000
9789 Boldero   Walk,Phoenix,Indiana,25823,False,NULL,NULL,28208.82,NULL,NULL,64204.62,NULL,NULL,73359.33,0
3465 Abbey   Alley,Cincinnati,Washington,23896,True,85951.86,95479.53,45831.92,NULL,NULL,39841.35,NULL,NULL,88245.40,0
1919 Canon Way,Kansas City,Texas,82682,False,37786.08,67588.11,67350.49,NULL,NULL,55254.35,NULL,NULL,75138.65,0
1021 Cliffords  Walk,Springfield,Arkansas,11129,False,34217.37,76703.48,98017.81,NULL,NULL,32937.00,NULL,NULL,64833.79,30000
9153 Carpenter Vale,Columbus,Montana,15406,False,8495.31,89913.07,1021.76,NULL,NULL,9767.33,NULL,NULL,14729.58,0
7775 Caroline  Alley,Nashville,Hawaii,49017,True,34367.79,81385.00,55195.83,NULL,NULL,50349.07,NULL,NULL,95312.27,3500
3067 Baylis  Route,Glendale,Idaho,70685,False,88539.38,21519.64,84344.43,NULL,NULL,45669.75,NULL,NULL,67780.68,4900
